<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPAL01C2004A,20200102,0.38,0.5,0.38,0.46,20925400
SPAL01C2004B,20200102,0.24,0.34,0.24,0.3,19562900
SPAL06P2004A,20200102,0.4,0.4,0.28,0.31,13359600
SPAL11C2006A,20200102,0.39,0.52,0.39,0.47,9502000
SPAL13C2003A,20200102,0.25,0.38,0.25,0.33,52996500
SPAL19C2004A,20200102,0.29,0.41,0.29,0.37,8392300
SPAL41C2004A,20200102,0.35,0.46,0.35,0.41,5318400
SPAL42C2003A,20200102,0.16,0.22,0.15,0.17,8029500
SPRC01C2003A,20200102,0.66,0.71,0.66,0.71,5083100
SPRC01C2003B,20200102,0.18,0.2,0.18,0.2,17893100
SPRC06P2003A,20200102,0.03,0.03,0.03,0.03,70300
SPRC08C2005A,20200102,0.73,0.73,0.73,0.73,13700
SPRC11C2005A,20200102,0.17,0.19,0.17,0.19,2039100
SPRC13C2001A,20200102,0.4,0.48,0.4,0.48,5657900
SPRC13C2004A,20200102,0.19,0.22,0.19,0.2,26842500
SPRC19C2001A,20200102,0.12,0.15,0.12,0.13,1009700
SPRC19C2002A,20200102,0.9,0.94,0.9,0.94,350200
SPRC19C2005A,20200102,0.68,0.7,0.67,0.7,50000
SPRC19C2005B,20200102,0.22,0.24,0.22,0.22,5595100
SPRC19P2005A,20200102,0.37,0.37,0.35,0.35,1879800
SPRC24C2003A,20200102,0.16,0.17,0.16,0.17,600000
SPRC41C2002A,20200102,0.57,0.58,0.57,0.58,135000
STA01C2003A,20200102,0.17,0.19,0.17,0.19,3601400
STA01P2003A,20200102,0.42,0.42,0.39,0.39,1339600
STA11C2005A,20200102,0.13,0.13,0.13,0.13,100
STA13C2003A,20200102,0.13,0.14,0.13,0.14,2692000
STA19C2004A,20200102,0.14,0.16,0.13,0.16,864500
STA19C2005A,20200102,0.49,0.55,0.49,0.55,1408700
STEC01C2003A,20200102,0.08,0.1,0.08,0.1,16409300
STEC01C2003B,20200102,0.03,0.03,0.03,0.03,700000
STEC01C2004A,20200102,0.19,0.23,0.19,0.23,53018900
STEC01P2003A,20200102,1.09,1.09,0.98,1,3560900
STEC06C2002A,20200102,0.01,0.02,0.01,0.02,260100
STEC06C2004A,20200102,0.29,0.34,0.29,0.34,6292600
STEC08C2005A,20200102,0.36,0.4,0.36,0.39,8238100
STEC11C2001A,20200102,0.01,0.01,0.01,0.01,200000
STEC11C2007A,20200102,0.08,0.1,0.08,0.1,102200
STEC13C2001A,20200102,0.01,0.01,0.01,0.01,100
STEC13C2003A,20200102,0.13,0.16,0.13,0.15,8515300
STEC13C2004A,20200102,0.28,0.33,0.28,0.31,27608400
STEC16C2003A,20200102,0.01,0.01,0.01,0.01,5000
STEC16C2006A,20200102,0.1,0.11,0.1,0.11,2446000
STEC19C2004A,20200102,0.1,0.12,0.1,0.12,2621100
STEC19C2005A,20200102,0.33,0.36,0.33,0.35,2778100
STEC27C2002A,20200102,0.01,0.01,0.01,0.01,700100
STEC28C2004B,20200102,0.15,0.18,0.15,0.18,1723800
STEC28C2005A,20200102,0.29,0.34,0.29,0.34,4927800
STEC41C2001A,20200102,0.01,0.01,0.01,0.01,100000
STEC41C2005A,20200102,0.32,0.35,0.32,0.35,2796000
STEC41C2006A,20200102,0.41,0.43,0.41,0.43,5796000
STEC41P2004A,20200102,0.36,0.36,0.36,0.36,400000
STEC41P2005A,20200102,0.39,0.39,0.39,0.39,150000
STEC42C2004A,20200102,0.26,0.28,0.26,0.28,880700
SUPE13C2003A,20200102,0.07,0.08,0.07,0.07,1446500
SUPE19C2004A,20200102,0.11,0.11,0.1,0.1,1573200
SUPE42C2004A,20200102,0.12,0.12,0.12,0.12,60000
TASC01C2003A,20200102,0.44,0.44,0.42,0.42,2809100
TASC01C2003B,20200102,0.19,0.19,0.19,0.19,2486800
TASC01P2003A,20200102,0.39,0.4,0.39,0.4,3454400
TASC08C2005A,20200102,0.32,0.32,0.32,0.32,1100000
TASC11C2002A,20200102,0.75,0.75,0.72,0.72,1283400
TASC13C2003A,20200102,0.26,0.26,0.25,0.25,1252800
TASC16C2001A,20200102,0.12,0.12,0.11,0.11,2054700
TASC19C2003A,20200102,0.26,0.26,0.24,0.24,3378200
TASC19P2004A,20200102,0.36,0.37,0.36,0.37,589100
TASC28C2004A,20200102,0.22,0.22,0.21,0.21,1697800
TCAP01C2001A,20200102,0.35,0.35,0.35,0.35,300000
TCAP01P2001A,20200102,0.09,0.11,0.09,0.1,2702000
TCAP11C2002A,20200102,0.2,0.21,0.19,0.19,855800
TCAP13C2002A,20200102,0.4,0.4,0.38,0.38,2910100
TCAP19C2004A,20200102,0.46,0.46,0.43,0.44,710600
THAI13C2004A,20200102,0.21,0.22,0.21,0.21,4022800
THAI19C2002A,20200102,0.02,0.02,0.02,0.02,100
THAI19C2004A,20200102,0.23,0.23,0.22,0.22,1310200
THAN01C2001A,20200102,0.06,0.06,0.06,0.06,500500
THAN06C2003A,20200102,0.06,0.06,0.06,0.06,60000
THAN06C2005A,20200102,0.25,0.25,0.24,0.24,1645800
THAN06P2003A,20200102,0.35,0.35,0.35,0.35,1015000
THAN13C2003A,20200102,0.13,0.14,0.12,0.13,2707000
THAN19C2004A,20200102,0.15,0.15,0.15,0.15,100000
TISC01C2001A,20200102,0.93,1.08,0.93,1.02,4568900
TISC01C2001B,20200102,0.26,0.35,0.26,0.3,7848000
TISC01P2001A,20200102,0.03,0.03,0.01,0.02,2751000
TISC08C2001A,20200102,0.15,0.2,0.15,0.19,1541000
TISC08C2002A,20200102,0.11,0.13,0.11,0.12,992100
TISC11C2005A,20200102,0.22,0.25,0.22,0.25,400000
TISC11C2007A,20200102,0.82,0.94,0.82,0.88,2280500
TISC13C2004A,20200102,0.57,0.69,0.57,0.66,6853600
TISC16C2001A,20200102,0.34,0.45,0.34,0.41,4961400
TISC19C2004A,20200102,0.52,0.61,0.52,0.59,2595100
TISC41C2005A,20200102,0.64,0.75,0.64,0.71,4373400
TKN01C2003A,20200102,0.21,0.21,0.2,0.21,9846000
TKN01C2003B,20200102,0.14,0.14,0.13,0.14,10769400
TKN08C2003A,20200102,0.25,0.26,0.24,0.26,2361800
TKN13C2004A,20200102,0.21,0.22,0.2,0.22,2613400
TKN16C2001A,20200102,0.16,0.17,0.14,0.17,2181100
TKN19C2001A,20200102,0.02,0.02,0.02,0.02,75100
TKN19C2004A,20200102,0.49,0.51,0.49,0.51,6200
TKN19C2004B,20200102,0.24,0.26,0.24,0.26,4788800
TKN28C2003A,20200102,0.1,0.11,0.1,0.1,1163300
TKN41C2001A,20200102,0.12,0.12,0.11,0.12,615000
TKN41C2003A,20200102,0.14,0.14,0.13,0.13,180000
TKN42C2003A,20200102,0.12,0.13,0.12,0.13,25000
TMB01C2004A,20200102,0.56,0.59,0.52,0.55,29560100
TMB01C2004B,20200102,0.34,0.38,0.33,0.35,11201200
TMB01P2004A,20200102,0.26,0.27,0.24,0.26,5778600
TMB13C2002A,20200102,0.36,0.41,0.35,0.38,15038700
TMB19C2001A,20200102,0.06,0.07,0.05,0.05,9329900
TMB19C2004A,20200102,0.45,0.5,0.45,0.48,2920900
TMB19P2004A,20200102,0.25,0.25,0.23,0.24,1243600
TMB28C2002A,20200102,0.34,0.38,0.33,0.35,175800
TMB41C2002A,20200102,0.29,0.33,0.28,0.31,6146000
TMB41P2002A,20200102,0.01,0.01,0.01,0.01,100
TMB41P2003A,20200102,0.08,0.09,0.08,0.08,100200
TMB41P2006A,20200102,0.25,0.26,0.25,0.26,738400
TOA01C2001A,20200102,0.23,0.25,0.21,0.22,4209300
TOA01C2001B,20200102,0.05,0.06,0.05,0.06,360000
TOA01P2001A,20200102,0.07,0.07,0.07,0.07,19100
TOA08C2003A,20200102,0.14,0.16,0.14,0.15,1088600
TOA13C2003A,20200102,0.14,0.16,0.13,0.13,1919900
TOA16C2001A,20200102,0.18,0.2,0.16,0.17,6224700
TOA19C2004A,20200102,0.17,0.19,0.17,0.18,707100
TOA24C2005A,20200102,0.16,0.18,0.16,0.16,2083100
TOP01C2003A,20200102,0.66,0.77,0.66,0.73,9489900
TOP01C2003B,20200102,0.29,0.37,0.29,0.34,68037000
TOP01P2003A,20200102,0.41,0.42,0.35,0.37,6534000
TOP06C2004A,20200102,0.3,0.37,0.28,0.34,9742300
TOP06P2005A,20200102,0.38,0.38,0.32,0.33,3632400
TOP08C2003A,20200102,0.29,0.35,0.29,0.33,4732500
TOP08P2003A,20200102,0.37,0.37,0.31,0.33,2601900
TOP11C2002A,20200102,0.11,0.14,0.11,0.13,2614400
TOP11C2007A,20200102,0.57,0.66,0.57,0.63,8332900
TOP11P2002A,20200102,0.21,0.21,0.17,0.18,4496000
TOP13C2002A,20200102,0.14,0.18,0.13,0.16,7419500
TOP13C2004A,20200102,0.43,0.5,0.41,0.47,19224900
TOP13P2001A,20200102,0.07,0.07,0.05,0.05,1907200
TOP13P2005A,20200102,0.56,0.57,0.49,0.52,6203000
TOP16C2001A,20200102,0.05,0.07,0.05,0.07,2143800
TOP19C2002A,20200102,0.34,0.42,0.32,0.39,3495200
TOP19C2003A,20200102,0.26,0.33,0.26,0.3,16739200
TOP19P2002A,20200102,0.19,0.19,0.15,0.16,5042700
TOP24C2007A,20200102,0.5,0.6,0.49,0.54,4600500
TOP28C2004A,20200102,0.41,0.49,0.41,0.46,5861400
TOP41C2002A,20200102,0.25,0.3,0.25,0.3,300000
TOP41C2005A,20200102,0.54,0.63,0.54,0.6,6379400
TOP41C2006A,20200102,0.49,0.57,0.49,0.57,3492000
TOP41P2002A,20200102,0.26,0.26,0.22,0.23,4040000
TOP41P2004A,20200102,0.4,0.4,0.39,0.39,300000
TPI19C2004A,20200102,0.4,0.42,0.39,0.39,859800
TRUE01C2002A,20200102,0.01,0.02,0.01,0.02,282300
TRUE01C2004A,20200102,0.12,0.12,0.1,0.11,6307900
TRUE01C2004B,20200102,0.49,0.49,0.46,0.49,5696200
TRUE01P2002A,20200102,1.17,1.2,1.16,1.19,4531600
TRUE01P2002B,20200102,0.85,0.89,0.84,0.86,4048000
TRUE01P2004A,20200102,0.5,0.5,0.48,0.49,2795200
TRUE01P2004B,20200102,0.24,0.25,0.23,0.23,16865800
TRUE06C2004A,20200102,0.52,0.52,0.5,0.5,3335000
TRUE08C2004A,20200102,0.23,0.23,0.23,0.23,1900000
TRUE08C2005A,20200102,0.54,0.55,0.53,0.54,2956000
TRUE08P2005A,20200102,0.55,0.56,0.55,0.55,2195600
TRUE11C2005A,20200102,0.04,0.04,0.04,0.04,25000
TRUE11C2005B,20200102,0.11,0.11,0.11,0.11,1000
TRUE11P2002A,20200102,0.23,0.24,0.23,0.23,2940400
TRUE13C2003A,20200102,0.07,0.08,0.07,0.07,2167300
TRUE13C2003B,20200102,0.39,0.4,0.36,0.39,28206500
TRUE13P2001A,20200102,0.32,0.33,0.31,0.32,22708000
TRUE16C2002A,20200102,0.06,0.06,0.06,0.06,100
TRUE19C2004A,20200102,0.25,0.25,0.24,0.24,1497600
TRUE19P2003A,20200102,0.3,0.31,0.3,0.31,503000
TRUE19P2005A,20200102,0.29,0.29,0.29,0.29,612000
TRUE28C2003B,20200102,0.16,0.16,0.15,0.15,2144400
TRUE41C2004A,20200102,0.43,0.43,0.42,0.42,7086000
TRUE41C2005A,20200102,0.39,0.39,0.39,0.39,1200000
TRUE41C2006A,20200102,0.61,0.62,0.6,0.6,360000
TRUE41P2001A,20200102,0.39,0.4,0.39,0.4,100000
TRUE41P2005A,20200102,0.52,0.53,0.52,0.52,2200000
TRUE42C2003A,20200102,0.04,0.04,0.04,0.04,100000
TRUE42C2004A,20200102,0.45,0.46,0.43,0.43,996400
TU01C2001A,20200102,0.01,0.02,0.01,0.02,30200
TU01C2001B,20200102,0.01,0.01,0.01,0.01,419000
TU01C2004A,20200102,0.23,0.24,0.22,0.23,6562000
TU01C2004B,20200102,0.2,0.23,0.2,0.22,6190000
TU01P2001A,20200102,1.16,1.16,1.11,1.11,700800
TU01P2004A,20200102,0.33,0.34,0.31,0.31,5564200
TU06C2004A,20200102,0.09,0.1,0.08,0.1,10965300
