<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AIT,20200102,18.5,18.9,18.5,18.9,38500
AJ,20200102,8.35,8.35,8,8.3,5300
AJA,20200102,0.21,0.22,0.2,0.21,1535300
AKP,20200102,1.06,1.09,1.05,1.09,2158300
AKR,20200102,0.59,0.61,0.59,0.61,451300
ALL,20200102,3.98,3.98,3.88,3.94,3668600
ALLA,20200102,1.36,1.38,1.32,1.36,3609800
ALT,20200102,1.65,1.67,1.5,1.5,1034500
ALUCON,20200102,154.5,154.5,154.5,154.5,300
AMA,20200102,5.2,5.3,5.2,5.3,64900
AMANAH,20200102,3.18,3.3,3.18,3.28,14389500
AMARIN,20200102,4.2,4.2,4.08,4.14,12200
AMATA,20200102,20.1,20.6,20.1,20.4,9910800
AMATAR,20200102,11.4,11.7,11.4,11.7,74000
AMATAV,20200102,4.78,4.88,4.78,4.8,34300
AMC,20200102,1.84,1.85,1.8,1.85,170900
ANAN,20200102,2.62,2.72,2.62,2.7,6250300
AOT,20200102,74.5,75.5,74.25,75.25,11500200
AP,20200102,7.5,7.8,7.45,7.75,17854100
APCO,20200102,3.18,3.24,3.18,3.24,84300
APCS,20200102,4.1,4.4,4.1,4.38,81100
APEX,20200102,0.15,0.15,0.15,0.15,2069300
APP,20200102,2.26,2.28,2.22,2.26,610300
APURE,20200102,0.8,0.8,0.76,0.76,224100
AQ,20200102,0.02,0.02,0.01,0.02,1681400
AQUA,20200102,0.41,0.44,0.41,0.43,28024400
ARIN,20200102,0.83,0.84,0.81,0.82,1249700
ARIP,20200102,0.4,0.4,0.39,0.4,25600
ARROW,20200102,8.95,8.95,8.75,8.75,13900
AS,20200102,1.3,1.32,1.27,1.3,71300
ASAP,20200102,1.88,1.92,1.88,1.9,749100
ASEFA,20200102,3.36,3.4,3.36,3.4,25300
ASIA,20200102,5.6,5.6,5.6,5.6,200
ASIAN,20200102,4.22,4.28,4.22,4.24,66700
ASIMAR,20200102,1.21,1.21,1.2,1.2,95800
ASK,20200102,25.5,26.25,25.5,26,382000
ASN,20200102,6.45,6.85,6.35,6.35,1500
ASP,20200102,1.72,1.75,1.72,1.75,1037000
ATP30,20200102,1.32,1.32,1.28,1.31,1079800
AU,20200102,10,10.3,10,10.1,2317600
AUCT,20200102,7.1,7.15,7,7.05,1180300
AWC,20200102,5.9,5.9,5.65,5.7,26758300
AYUD,20200102,39,39.5,39,39.5,5800
B,20200102,0.22,0.23,0.21,0.21,2837000
B-WORK,20200102,12.1,12.2,12.1,12.2,31000
B52,20200102,0.2,0.2,0.19,0.19,70100
BA,20200102,6.95,7.2,6.85,7,1368500
BAFS,20200102,30,30.75,30,30.5,143500
BAM,20200102,18.1,19.9,18.1,19.7,160922600
BANPU,20200102,12,12.2,11.9,12.1,15711100
BAY,20200102,30,30.5,29.75,30,506900
BBL,20200102,161,163.5,160.5,163.5,11084000
BC,20200102,1.62,1.64,1.62,1.63,508900
BCH,20200102,17.1,17.2,16.8,17,5806000
BCP,20200102,28,29.5,27.75,29,8069000
